p1_diffp,p1_distance_run,p1_win_streak,p1_unf_err,p1_serve,p1_ace,elapsed_time,p1_net_pt_won,p1_label,p1_diffp_lag1,p1_diffp_lag2,p1_diffp_lag3,p1_distance_run_lag1,p1_distance_run_lag2,p1_distance_run_lag3,p1_win_streak_lag1,p1_win_streak_lag2,p1_win_streak_lag3,p1_unf_err_lag1,p1_unf_err_lag2,p1_unf_err_lag3,p1_serve_lag1,p1_serve_lag2,p1_serve_lag3,p1_ace_lag1,p1_ace_lag2,p1_ace_lag3,elapsed_time_lag1,elapsed_time_lag2,elapsed_time_lag3,p1_net_pt_won_lag1,p1_net_pt_won_lag2,p1_net_pt_won_lag3
0.3,0.13494886466787248,0.0,0.0,0.0,0.0,0.0030977512620468106,0.0,0,-1.0,0.0,-1.0,5.771,14.696,33.676,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,46.0,22.0,0.0,0.0,0.0
0.5,0.13311323736073102,0.0,0.0,1.0,0.0,0.01732446076181735,1.0,1,-2.0,-1.0,0.0,20.07,5.771,14.696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,46.0,0.0,0.0,0.0
0.6,0.03716304808267719,0.16666666666666666,0.0,1.0,0.0,0.0035566773749426345,0.0,1,0.0,-2.0,-1.0,19.797,20.07,5.771,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,151.0,27.0,27.0,1.0,0.0,0.0
0.7,0.14822186211951074,0.3333333333333333,1.0,1.0,0.0,0.0030977512620468106,0.0,0,1.0,0.0,-2.0,5.527,19.797,20.07,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,151.0,27.0,0.0,1.0,0.0
0.6,0.1315196707973884,0.0,0.0,1.0,0.0,0.005162918770078018,0.0,1,2.0,1.0,0.0,22.044,5.527,19.797,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27.0,31.0,151.0,0.0,0.0,1.0
0.7,0.037438728374225905,0.16666666666666666,0.0,1.0,0.0,0.004130335016062414,0.0,1,1.0,2.0,1.0,19.56,22.044,5.527,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,45.0,27.0,31.0,0.0,0.0,0.0
0.5,0.027036840300424275,0.0,0.0,0.0,0.0,0.003786140431390546,0.0,0,2.0,1.0,2.0,5.568,19.56,22.044,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,36.0,45.0,27.0,0.0,0.0,0.0
0.4,0.03842714307807131,0.0,0.0,0.0,0.0,0.004015603487838458,0.0,0,0.0,2.0,1.0,4.021,5.568,19.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,33.0,36.0,45.0,0.0,0.0,0.0
0.3,0.08254271363541617,0.0,0.0,0.0,0.0,0.0024093620927030748,0.0,1,-1.0,0.0,2.0,5.715,4.021,5.568,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,33.0,36.0,0.0,0.0,0.0
0.4,0.008216617470061792,0.16666666666666666,0.0,0.0,0.0,0.004933455713630105,0.0,0,-2.0,-1.0,0.0,12.276,5.715,4.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,35.0,33.0,0.0,0.0,0.0
0.3,0.043241462315848925,0.0,0.0,0.0,0.0,0.0028682882055988987,0.0,0,-1.0,-2.0,-1.0,1.222,12.276,5.715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,21.0,35.0,0.0,0.0,0.0
0.5,0.14818824257176091,0.0,0.0,1.0,0.0,0.011358421294171639,0.0,1,-2.0,-1.0,-2.0,6.431,1.222,12.276,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,43.0,21.0,0.0,0.0,0.0
0.6,0.19259294123975443,0.16666666666666666,0.0,1.0,0.0,0.003900871959614502,0.0,0,0.0,-2.0,-1.0,22.039,6.431,1.222,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,99.0,25.0,43.0,0.0,0.0,0.0
0.5,0.05703220080283479,0.0,0.0,1.0,0.0,0.006654428636989445,0.0,1,1.0,0.0,-2.0,28.643,22.039,6.431,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,99.0,25.0,0.0,0.0,0.0
0.6,0.018692468548913075,0.16666666666666666,0.0,1.0,0.0,0.0027535566773749425,0.0,1,0.0,1.0,0.0,8.482,28.643,22.039,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,58.0,34.0,99.0,0.0,0.0,0.0
0.7,0.07500521102990121,0.3333333333333333,0.0,1.0,0.0,0.002524093620927031,1.0,1,1.0,0.0,1.0,2.78,8.482,28.643,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,58.0,34.0,0.0,0.0,0.0
0.5,0.043402836145048175,0.0,0.0,0.0,0.0,0.005048187241854062,0.0,0,2.0,1.0,0.0,11.155,2.78,8.482,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22.0,24.0,58.0,1.0,0.0,0.0
0.4,0.00796110890716298,0.0,0.0,0.0,0.0,0.002524093620927031,0.0,0,0.0,2.0,1.0,6.455,11.155,2.78,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,44.0,22.0,24.0,0.0,1.0,0.0
0.3,0.03735804145962628,0.0,0.0,0.0,0.0,0.002524093620927031,0.0,0,-1.0,0.0,2.0,1.184,6.455,11.155,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,44.0,22.0,0.0,0.0,1.0
0.19999999999999996,0.010072416505853162,0.0,0.0,0.0,0.0,0.0027535566773749425,0.0,0,-2.0,-1.0,0.0,5.556,1.184,6.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,44.0,0.0,0.0,0.0
0.5,0.2443804925936136,0.0,1.0,1.0,0.0,0.012276273519963287,0.0,0,-3.0,-2.0,-1.0,1.498,5.556,1.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,22.0,22.0,0.0,0.0,0.0
0.4,0.028435413486817773,0.0,0.0,1.0,0.0,0.004130335016062414,0.0,1,0.0,-3.0,-2.0,36.345,1.498,5.556,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,107.0,24.0,22.0,0.0,0.0,0.0
0.5,0.19009164688716607,0.16666666666666666,1.0,1.0,0.0,0.0030977512620468106,0.0,0,-1.0,0.0,-3.0,4.229,36.345,1.498,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,36.0,107.0,24.0,0.0,0.0,0.0
0.4,0.04819698365417588,0.0,1.0,1.0,0.0,0.004933455713630105,0.0,0,0.0,-1.0,0.0,28.271,4.229,36.345,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27.0,36.0,107.0,0.0,0.0,0.0
0.3,0.04162772402385642,0.0,1.0,1.0,0.0,0.0060807709958696655,0.0,0,-1.0,0.0,-1.0,7.168,28.271,4.229,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,27.0,36.0,0.0,0.0,0.0
0.5,0.05465193682214586,0.0,0.0,0.0,0.0,0.006883891693437357,0.0,1,-2.0,-1.0,0.0,6.191,7.168,28.271,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.0,43.0,27.0,0.0,0.0,0.0
0.6,0.04102929607390921,0.16666666666666666,0.0,0.0,0.0,0.004474529600734282,0.0,0,0.0,-2.0,-1.0,8.128,6.191,7.168,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,53.0,43.0,0.0,0.0,0.0
0.5,0.04311370803439952,0.0,0.0,0.0,0.0,0.0028682882055988987,0.0,1,1.0,0.0,-2.0,6.102,8.128,6.191,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,60.0,53.0,0.0,0.0,0.0
0.6,0.08582398149580091,0.16666666666666666,0.0,0.0,0.0,0.0033272143184947226,0.0,0,0.0,1.0,0.0,6.412,6.102,8.128,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,39.0,60.0,0.0,0.0,0.0
0.5,0.02988105404006105,0.0,0.0,0.0,0.0,0.0032124827902707664,0.0,0,1.0,0.0,1.0,12.764,6.412,6.102,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,25.0,39.0,0.0,0.0,0.0
0.4,0.11958473134619392,0.0,0.0,0.0,0.0,0.0030977512620468106,0.0,0,0.0,1.0,0.0,4.444,12.764,6.412,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,25.0,0.0,0.0,0.0
0.5,0.08524572527450361,0.0,0.0,1.0,0.0,0.015144561725562184,0.0,1,-1.0,0.0,1.0,17.785,4.444,12.764,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,29.0,0.0,0.0,0.0
0.6,0.07193238436556551,0.16666666666666666,0.0,1.0,0.0,0.0027535566773749425,1.0,1,0.0,-1.0,0.0,12.678,17.785,4.444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,132.0,27.0,28.0,0.0,0.0,0.0
0.7,0.10239841853647383,0.3333333333333333,0.0,1.0,0.0,0.0032124827902707664,1.0,1,1.0,0.0,-1.0,10.698,12.678,17.785,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,132.0,27.0,1.0,0.0,0.0
0.8,0.034540723358189376,0.5,0.0,1.0,0.0,0.0033272143184947226,0.0,1,2.0,1.0,0.0,15.229,10.698,12.678,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28.0,24.0,132.0,1.0,1.0,0.0
0.5,0.0585786999993276,0.0,0.0,0.0,0.0,0.006998623221661312,0.0,0,3.0,2.0,1.0,5.137,15.229,10.698,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29.0,28.0,24.0,0.0,1.0,1.0
0.4,0.11577227463136164,0.0,0.0,0.0,0.0,0.0032124827902707664,0.0,0,0.0,3.0,2.0,8.712,5.137,15.229,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,61.0,29.0,28.0,0.0,0.0,1.0
0.3,0.013078004074689186,0.0,0.0,0.0,0.0,0.0035566773749426345,0.0,1,-1.0,0.0,3.0,17.218,8.712,5.137,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,61.0,29.0,0.0,0.0,0.0
0.4,0.07633654512079502,0.16666666666666666,1.0,0.0,0.0,0.004359798072510326,0.0,0,-2.0,-1.0,0.0,1.945,17.218,8.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,28.0,61.0,0.0,0.0,0.0
0.3,0.014550540266132339,0.0,0.0,0.0,0.0,0.004703992657182194,0.0,0,-1.0,-2.0,-1.0,11.353,1.945,17.218,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,31.0,28.0,0.0,0.0,0.0
0.5,0.07226857984306394,0.0,0.0,1.0,0.0,0.0036714089031665903,0.0,1,-2.0,-1.0,-2.0,2.164,11.353,1.945,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,38.0,31.0,0.0,0.0,0.0
0.6,0.006387714072470296,0.16666666666666666,0.0,1.0,1.0,0.0027535566773749425,0.0,1,0.0,-2.0,-1.0,10.748,2.164,11.353,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,41.0,38.0,0.0,0.0,0.0
0.7,0.006138929419121453,0.3333333333333333,0.0,1.0,1.0,0.002065167508031207,0.0,1,1.0,0.0,-2.0,0.95,10.748,2.164,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,24.0,32.0,41.0,0.0,0.0,0.0
0.8,0.0042226151973803645,0.5,0.0,1.0,1.0,0.001950435979807251,0.0,1,2.0,1.0,0.0,0.913,0.95,10.748,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,18.0,24.0,32.0,0.0,0.0,0.0
0.5,0.009991729591253537,0.0,0.0,0.0,0.0,0.012276273519963287,0.0,0,3.0,2.0,1.0,0.628,0.913,0.95,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,18.0,24.0,0.0,0.0,0.0
0.4,0.22915756137248441,0.0,0.0,0.0,0.0,0.002524093620927031,0.0,0,0.0,3.0,2.0,1.486,0.628,0.913,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,107.0,17.0,18.0,0.0,0.0,0.0
0.3,0.0270099446622244,0.0,1.0,0.0,0.0,0.005392381826525929,0.0,0,-1.0,0.0,3.0,34.081,1.486,0.628,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,107.0,17.0,0.0,0.0,0.0
0.19999999999999996,0.07157601715941717,0.0,0.0,0.0,0.0,0.004130335016062414,0.0,0,-2.0,-1.0,0.0,4.017,34.081,1.486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,22.0,107.0,0.0,0.0,0.0
0.5,0.05173376007745943,0.0,0.0,1.0,0.0,0.00424506654428637,1.0,1,-3.0,-2.0,-1.0,10.645,4.017,34.081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,47.0,22.0,0.0,0.0,0.0
0.6,0.13293169180288184,0.16666666666666666,0.0,1.0,0.0,0.0048187241854061496,1.0,1,0.0,-3.0,-2.0,7.694,10.645,4.017,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0,47.0,1.0,0.0,0.0
0.7,0.11469644910336664,0.3333333333333333,0.0,1.0,0.0,0.004015603487838458,0.0,1,1.0,0.0,-3.0,19.77,7.694,10.645,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,37.0,36.0,1.0,1.0,0.0
0.8,0.04525863518083954,0.5,0.0,1.0,0.0,0.003900871959614502,0.0,1,2.0,1.0,0.0,17.058,19.77,7.694,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0,42.0,37.0,0.0,1.0,1.0
0.5,0.13307961781298117,0.0,0.0,0.0,0.0,0.011817347407067462,0.0,1,3.0,2.0,1.0,6.731,17.058,19.77,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,34.0,35.0,42.0,0.0,0.0,1.0
0.6,0.1338864869589774,0.16666666666666666,0.0,0.0,0.0,0.004703992657182194,0.0,0,0.0,3.0,2.0,19.792,6.731,17.058,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,103.0,34.0,35.0,0.0,0.0,0.0
0.5,0.13303927435568136,0.0,0.0,0.0,0.0,0.005507113354749885,0.0,0,1.0,0.0,3.0,19.912,19.792,6.731,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,103.0,34.0,0.0,0.0,0.0
0.4,0.011141518124298191,0.0,0.0,0.0,0.0,0.004474529600734282,0.0,0,0.0,1.0,0.0,19.786,19.912,19.792,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,41.0,103.0,0.0,0.0,0.0
0.3,0.04395419672814561,0.0,0.0,0.0,0.0,0.0026388251491509867,0.0,0,-1.0,0.0,1.0,1.657,19.786,19.912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,48.0,41.0,0.0,0.0,0.0
0.5,0.06106654653281604,0.0,0.0,1.0,0.0,0.004589261128958238,1.0,1,-2.0,-1.0,0.0,6.537,1.657,19.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,39.0,48.0,0.0,0.0,0.0
0.6,0.05766424830053186,0.16666666666666666,0.0,1.0,0.0,0.0034419458467186783,0.0,1,0.0,-2.0,-1.0,9.082,6.537,1.657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,23.0,39.0,1.0,0.0,0.0
0.7,0.026277038521277808,0.3333333333333333,0.0,1.0,0.0,0.0030977512620468106,0.0,1,1.0,0.0,-2.0,8.576,9.082,6.537,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,40.0,23.0,0.0,1.0,0.0
0.8,0.07544898906019916,0.5,0.0,1.0,0.0,0.002065167508031207,0.0,1,2.0,1.0,0.0,3.908,8.576,9.082,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27.0,30.0,40.0,0.0,0.0,1.0
0.5,0.044102122738244924,0.0,0.0,0.0,0.0,0.018357044515832952,0.0,0,3.0,2.0,1.0,11.221,3.908,8.576,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,27.0,30.0,0.0,0.0,0.0
0.4,0.07011020487752398,0.0,0.0,0.0,0.0,0.002294630564479119,0.0,1,0.0,3.0,2.0,6.559,11.221,3.908,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,160.0,18.0,27.0,0.0,0.0,0.0
0.5,0.21550130107649787,0.16666666666666666,0.0,0.0,0.0,0.0028682882055988987,0.0,0,-1.0,0.0,3.0,10.427,6.559,11.221,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,160.0,18.0,0.0,0.0,0.0
0.4,0.06451591213195,0.0,0.0,0.0,0.0,0.006424965580541533,0.0,0,0.0,-1.0,0.0,32.05,10.427,6.559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,160.0,0.0,0.0,0.0
0.3,0.30731628598132094,0.0,0.0,0.0,0.0,0.0035566773749426345,0.0,1,-1.0,0.0,-1.0,9.595,32.05,10.427,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,25.0,20.0,0.0,0.0,0.0
0.4,0.026720816551575745,0.16666666666666666,1.0,0.0,0.0,0.006424965580541533,0.0,0,-2.0,-1.0,0.0,45.705,9.595,32.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,56.0,25.0,0.0,0.0,0.0
0.5,0.023298346590641658,0.0,0.0,1.0,0.0,0.006654428636989445,0.0,1,-1.0,-2.0,-1.0,3.974,45.705,9.595,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,31.0,56.0,0.0,0.0,0.0
0.6,0.010637224908050536,0.16666666666666666,1.0,1.0,0.0,0.004589261128958238,0.0,0,0.0,-1.0,-2.0,3.465,3.974,45.705,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,56.0,31.0,0.0,0.0,0.0
0.5,0.25647680587400734,0.0,0.0,1.0,0.0,0.0048187241854061496,0.0,1,1.0,0.0,-1.0,1.582,3.465,3.974,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,58.0,56.0,0.0,0.0,0.0
0.6,0.08901111462248608,0.16666666666666666,0.0,1.0,0.0,0.005621844882973842,0.0,0,0.0,1.0,0.0,38.144,1.582,3.465,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,42.0,40.0,58.0,0.0,0.0,0.0
0.5,0.030439138532708455,0.0,0.0,1.0,0.0,0.3217072051399725,0.0,1,1.0,0.0,1.0,13.238,38.144,1.582,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,49.0,42.0,40.0,0.0,0.0,0.0
0.6,0.007631637339214512,0.16666666666666666,0.0,1.0,1.0,0.0027535566773749425,0.0,1,0.0,1.0,0.0,4.527,13.238,38.144,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2804.0,49.0,42.0,0.0,0.0,0.0
0.5,0.06295596511635725,0.0,0.0,0.0,0.0,0.010784763653051858,0.0,0,1.0,0.0,1.0,1.135,4.527,13.238,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,24.0,2804.0,49.0,0.0,0.0,0.0
0.4,0.26728212852080707,0.0,0.0,0.0,0.0,0.004474529600734282,0.0,0,0.0,1.0,0.0,9.363,1.135,4.527,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,94.0,24.0,2804.0,0.0,0.0,0.0
0.3,0.1249235155288691,0.0,0.0,0.0,0.0,0.00424506654428637,0.0,1,-1.0,0.0,1.0,39.751,9.363,1.135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,39.0,94.0,24.0,0.0,0.0,0.0
